Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
05/01/2024,21:00,N,LZ_NORTH,39.60
05/01/2024,21:00,N,LZ_RAYBN,40.40
05/01/2024,21:00,N,LZ_SOUTH,34.03
05/01/2024,21:00,N,LZ_WEST,48.33
05/01/2024,22:00,N,HB_BUSAVG,27.78
05/01/2024,22:00,N,HB_HOUSTON,28.25
05/01/2024,22:00,N,HB_HUBAVG,28.09
05/01/2024,22:00,N,HB_NORTH,27.43
05/01/2024,22:00,N,HB_PAN,10.50
05/01/2024,22:00,N,HB_SOUTH,27.61
05/01/2024,22:00,N,HB_WEST,29.05
05/01/2024,22:00,N,LZ_AEN,30.78
05/01/2024,22:00,N,LZ_CPS,32.39
05/01/2024,22:00,N,LZ_HOUSTON,28.25
05/01/2024,22:00,N,LZ_LCRA,32.38
05/01/2024,22:00,N,LZ_NORTH,27.46
05/01/2024,22:00,N,LZ_RAYBN,27.41
05/01/2024,22:00,N,LZ_SOUTH,26.48
05/01/2024,22:00,N,LZ_WEST,40.58
05/01/2024,23:00,N,HB_BUSAVG,23.78
05/01/2024,23:00,N,HB_HOUSTON,23.91
05/01/2024,23:00,N,HB_HUBAVG,24.31
05/01/2024,23:00,N,HB_NORTH,23.20
05/01/2024,23:00,N,HB_PAN,7.72
05/01/2024,23:00,N,HB_SOUTH,23.55
05/01/2024,23:00,N,HB_WEST,26.60
05/01/2024,23:00,N,LZ_AEN,25.05
05/01/2024,23:00,N,LZ_CPS,26.72
05/01/2024,23:00,N,LZ_HOUSTON,23.92
05/01/2024,23:00,N,LZ_LCRA,25.97
05/01/2024,23:00,N,LZ_NORTH,23.18
05/01/2024,23:00,N,LZ_RAYBN,23.02
05/01/2024,23:00,N,LZ_SOUTH,22.62
05/01/2024,23:00,N,LZ_WEST,42.62
05/01/2024,24:00,N,HB_BUSAVG,16.24
05/01/2024,24:00,N,HB_HOUSTON,16.37
05/01/2024,24:00,N,HB_HUBAVG,16.65
05/01/2024,24:00,N,HB_NORTH,15.77
05/01/2024,24:00,N,HB_PAN,3.98
05/01/2024,24:00,N,HB_SOUTH,16.18
05/01/2024,24:00,N,HB_WEST,18.28
05/01/2024,24:00,N,LZ_AEN,17.26
05/01/2024,24:00,N,LZ_CPS,18.15
05/01/2024,24:00,N,LZ_HOUSTON,16.39
05/01/2024,24:00,N,LZ_LCRA,17.60
05/01/2024,24:00,N,LZ_NORTH,15.72
05/01/2024,24:00,N,LZ_RAYBN,15.62
05/01/2024,24:00,N,LZ_SOUTH,16.49
05/01/2024,24:00,N,LZ_WEST,33.53
05/02/2024,01:00,N,HB_BUSAVG,15.87
05/02/2024,01:00,N,HB_HOUSTON,15.75
05/02/2024,01:00,N,HB_HUBAVG,16.24
05/02/2024,01:00,N,HB_NORTH,15.63
05/02/2024,01:00,N,HB_PAN,7.60
05/02/2024,01:00,N,HB_SOUTH,14.96
05/02/2024,01:00,N,HB_WEST,18.63
05/02/2024,01:00,N,LZ_AEN,16.65
05/02/2024,01:00,N,LZ_CPS,17.86
05/02/2024,01:00,N,LZ_HOUSTON,15.74
05/02/2024,01:00,N,LZ_LCRA,16.94
05/02/2024,01:00,N,LZ_NORTH,15.64
05/02/2024,01:00,N,LZ_RAYBN,15.53
05/02/2024,01:00,N,LZ_SOUTH,13.41
05/02/2024,01:00,N,LZ_WEST,26.17
05/02/2024,02:00,N,HB_BUSAVG,15.50
05/02/2024,02:00,N,HB_HOUSTON,15.43
05/02/2024,02:00,N,HB_HUBAVG,15.83
05/02/2024,02:00,N,HB_NORTH,15.30
05/02/2024,02:00,N,HB_PAN,7.77
05/02/2024,02:00,N,HB_SOUTH,14.56
05/02/2024,02:00,N,HB_WEST,18.02
05/02/2024,02:00,N,LZ_AEN,16.29
05/02/2024,02:00,N,LZ_CPS,17.53
05/02/2024,02:00,N,LZ_HOUSTON,15.42
05/02/2024,02:00,N,LZ_LCRA,16.59
05/02/2024,02:00,N,LZ_NORTH,15.32
05/02/2024,02:00,N,LZ_RAYBN,15.21
05/02/2024,02:00,N,LZ_SOUTH,13.29
05/02/2024,02:00,N,LZ_WEST,26.84
05/02/2024,03:00,N,HB_BUSAVG,14.75
05/02/2024,03:00,N,HB_HOUSTON,14.67
05/02/2024,03:00,N,HB_HUBAVG,15.15
05/02/2024,03:00,N,HB_NORTH,14.41
05/02/2024,03:00,N,HB_PAN,7.81
05/02/2024,03:00,N,HB_SOUTH,14.07
05/02/2024,03:00,N,HB_WEST,17.45
05/02/2024,03:00,N,LZ_AEN,15.56
05/02/2024,03:00,N,LZ_CPS,16.79
05/02/2024,03:00,N,LZ_HOUSTON,14.67
05/02/2024,03:00,N,LZ_LCRA,15.89
05/02/2024,03:00,N,LZ_NORTH,14.41
05/02/2024,03:00,N,LZ_RAYBN,14.30
05/02/2024,03:00,N,LZ_SOUTH,12.98
05/02/2024,03:00,N,LZ_WEST,28.21
05/02/2024,04:00,N,HB_BUSAVG,12.93
05/02/2024,04:00,N,HB_HOUSTON,12.79
05/02/2024,04:00,N,HB_HUBAVG,13.25
